student_id,full_name,gender,age,governorate,admission_cohort,track,attendance_rate,sessions_attended,total_sessions,exams_score,certificates_count,certificate_providers,freelancing_income_usd_total,freelancing_income_usd_monthly_est,projects_delivered,employment_status,internship_company,mentor_name,email,phone,github_url,linkedin_url,warnings_count,dropout_flag,graduated_flag,graduation_date
1,Sara Fouad,F,25,Monufia,2023-03-01,Data Science,0.774,46,60,100.0,0,,0.0,0.0,4,Unemployed,,Dr. Amr,sara.fouad0000@iti.eg,+2001500133890,https://github.com/sarafouad0000,https://www.linkedin.com/in/sara-fouad-0000/,0,0,1,2023-07-19
2,Hany Said,M,26,Monufia,2024-05-01,Software Testing,0.4,24,60,72.6,0,,0.0,0.0,3,Intern,Orange,Dr. Heba,,+2001151161559,https://github.com/hanysaid0001,https://www.linkedin.com/in/hany-said-0001/,1,0,0,
3,Mohamed Sami,M,19,Aswan,2022-08-01,Cloud Engineering,0.762,73,96,83.0,0,,43.31,21.66,3,Freelancer,,Eng. Mona,mohamed.sami0002@iti.eg,+2001293103413,https://github.com/mohamedsami0002,https://www.linkedin.com/in/mohamed-sami-0002/,1,0,1,2023-03-13
4,Abdelrahman Farag,M,33,Gharbia,2023-12-01,Data Analysis,0.632,53,84,75.7,0,,0.0,0.0,4,Full-time,Orange,Eng. Mona,abdelrahman.farag0003@iti.eg,+2001127648350,https://github.com/abdelrahmanfarag0003,https://www.linkedin.com/in/abdelrahman-farag-0003/,1,0,1,2024-06-14
5,Mohamed Hegazy,M,18,Minya,2023-06-01,Data Science,0.545,46,84,77.4,0,,14.52,1.81,1,Full-time,Careem,Eng. Mona,mohamed.hegazy0004@iti.eg,+2001142388496,https://github.com/mohamedhegazy0004,,1,0,0,
6,Hassan Shaker,M,27,Qena,2022-06-01,Web Application Development,0.524,31,60,76.7,2,"Google,Microsoft",87.93,17.59,1,Intern,Vodafone,Dr. Hossam,hassan.shaker0005@iti.eg,+2001569784801,https://github.com/hassanshaker0005,https://www.linkedin.com/in/hassan-shaker-0005/,0,0,0,
7,Heba Yousef,F,20,Beheira,2024-04-01,Data Science,0.664,40,60,90.2,2,"AWS,Microsoft",0.0,0.0,2,Unemployed,,Dr. Heba,heba.yousef0006@iti.eg,+2001181489325,https://github.com/hebayousef0006,https://www.linkedin.com/in/heba-yousef-0006/,5,0,1,2024-08-19
8,Rania Hassan,F,24,Suez,2023-09-01,Data Engineering,0.757,45,60,85.0,2,"DataCamp,Microsoft",0.0,0.0,3,Unemployed,,Dr. Karim,rania.hassan0007@iti.eg,+2001230391171,https://github.com/raniahassan0007,https://www.linkedin.com/in/rania-hassan-0007/,0,0,1,2024-01-19
9,Alaa Elmasry,M,18,Gharbia,2023-05-01,Data Engineering,0.548,53,96,82.9,1,Udacity,0.0,0.0,3,Further Study,,Eng. Mona,alaa.elmasry0008@iti.eg,+2001146578713,https://github.com/alaaelmasry0008,https://www.linkedin.com/in/alaa-elmasry-0008/,2,0,0,
10,Osama Elmasry,M,25,Monufia,2025-02-01,Power BI Development,0.562,34,60,91.7,1,Microsoft,0.0,0.0,5,Intern,,Dr. Amr,osama.elmasry0009@iti.eg,,https://github.com/osamaelmasry0009,https://www.linkedin.com/in/osama-elmasry-0009/,2,0,1,2025-06-21
11,Alaa Said,M,19,Dakahlia,2022-07-01,Data Science,0.654,63,96,87.0,1,,0.0,0.0,4,Part-time,Sumerge,Dr. Karim,alaa.said0010@iti.eg,+2001010651333,https://github.com/alaasaid0010,https://www.linkedin.com/in/alaa-said-0010/,0,0,1,2023-02-10
12,Hussein Fouad,M,26,Assiut,2023-04-01,AI Engineering,0.4,24,60,82.6,0,,0.0,0.0,6,Unemployed,,Dr. Amr,hussein.fouad0011@iti.eg,+2001013267736,https://github.com/husseinfouad0011,https://www.linkedin.com/in/hussein-fouad-0011/,2,0,0,
